step = 	156	 obj = 	805.7678	 error = 	0.0017335
step = 	157	 obj = 	805.297	 error = 	0.0019669
step = 	158	 obj = 	804.8211	 error = 	0.0022063
step = 	159	 obj = 	804.3374	 error = 	0.0024355
step = 	160	 obj = 	803.8443	 error = 	0.0026333
step = 	161	 obj = 	803.345	 error = 	0.0027757
step = 	162	 obj = 	802.8441	 error = 	0.0028399
step = 	163	 obj = 	802.3473	 error = 	0.0028111
step = 	164	 obj = 	801.8595	 error = 	0.0026868
step = 	165	 obj = 	801.3849	 error = 	0.0024783
step = 	166	 obj = 	800.9284	 error = 	0.0022085
step = 	167	 obj = 	800.4951	 error = 	0.0019054
step = 	168	 obj = 	800.0877	 error = 	0.001596
step = 	169	 obj = 	799.7059	 error = 	0.0013016
step = 	170	 obj = 	799.3485	 error = 	0.001036
step = 	171	 obj = 	799.013	 error = 	0.00080611
step = 	172	 obj = 	798.696	 error = 	0.00061374
step = 	173	 obj = 	798.3945	 error = 	0.00045744
step = 	174	 obj = 	798.1057	 error = 	0.00033394
step = 	175	 obj = 	797.827	 error = 	0.00023905
step = 	176	 obj = 	797.5559	 error = 	0.00016826
step = 	177	 obj = 	797.2903	 error = 	0.00015758
step = 	178	 obj = 	797.0284	 error = 	0.00018068
step = 	179	 obj = 	796.7687	 error = 	0.00022113
step = 	180	 obj = 	796.5103	 error = 	0.00025113
step = 	181	 obj = 	796.2517	 error = 	0.00035585
step = 	182	 obj = 	795.9928	 error = 	0.00041789
step = 	183	 obj = 	795.7376	 error = 	0.00040782
step = 	184	 obj = 	795.4895	 error = 	0.00033362
step = 	185	 obj = 	795.246	 error = 	0.00025934
step = 	186	 obj = 	795.004	 error = 	0.00035064
step = 	187	 obj = 	794.7615	 error = 	0.00044568
step = 	188	 obj = 	794.5169	 error = 	0.00048191
step = 	189	 obj = 	794.2672	 error = 	0.00044648
step = 	190	 obj = 	794.0087	 error = 	0.00036781
step = 	191	 obj = 	793.7392	 error = 	0.00052722
step = 	192	 obj = 	793.4605	 error = 	0.00091265
step = 	193	 obj = 	793.1786	 error = 	0.001272
step = 	194	 obj = 	792.8989	 error = 	0.0013837
step = 	195	 obj = 	792.6231	 error = 	0.0012003
step = 	196	 obj = 	792.351	 error = 	0.00087451
step = 	197	 obj = 	792.0834	 error = 	0.00077278
step = 	198	 obj = 	791.8221	 error = 	0.00080935
step = 	199	 obj = 	791.5676	 error = 	0.0008836
step = 	200	 obj = 	791.3192	 error = 	0.00094173
step = 	201	 obj = 	791.0756	 error = 	0.00097758
step = 	202	 obj = 	790.8356	 error = 	0.00098979
step = 	203	 obj = 	790.5985	 error = 	0.0009806
step = 	204	 obj = 	790.3639	 error = 	0.00095394
step = 	205	 obj = 	790.1313	 error = 	0.00091407
step = 	206	 obj = 	789.8996	 error = 	0.00086487
step = 	207	 obj = 	789.6666	 error = 	0.00080967
step = 	208	 obj = 	789.4282	 error = 	0.00075127
step = 	209	 obj = 	789.179	 error = 	0.0006921
step = 	210	 obj = 	788.9171	 error = 	0.0010172
step = 	211	 obj = 	788.6511	 error = 	0.0018891
step = 	212	 obj = 	788.3981	 error = 	0.0022477
step = 	213	 obj = 	788.1666	 error = 	0.0016982
step = 	214	 obj = 	787.9527	 error = 	0.00091657
step = 	215	 obj = 	787.7502	 error = 	0.0005974
step = 	216	 obj = 	787.5552	 error = 	0.00053674
step = 	217	 obj = 	787.3657	 error = 	0.00047562
step = 	218	 obj = 	787.1806	 error = 	0.00041922
step = 	219	 obj = 	786.9992	 error = 	0.00036899
step = 	220	 obj = 	786.8211	 error = 	0.00032493
step = 	221	 obj = 	786.6464	 error = 	0.00028651
step = 	222	 obj = 	786.4754	 error = 	0.00025308
step = 	223	 obj = 	786.3086	 error = 	0.00022399
step = 	224	 obj = 	786.1468	 error = 	0.00021893
step = 	225	 obj = 	785.9903	 error = 	0.00021467
step = 	226	 obj = 	785.8394	 error = 	0.00019516
step = 	227	 obj = 	785.6938	 error = 	0.00017854
step = 	228	 obj = 	785.5534	 error = 	0.00017664
step = 	229	 obj = 	785.4177	 error = 	0.00017342
step = 	230	 obj = 	785.2863	 error = 	0.00016925
step = 	231	 obj = 	785.1588	 error = 	0.00016441
step = 	232	 obj = 	785.0349	 error = 	0.00015915
step = 	233	 obj = 	784.9143	 error = 	0.00015364
step = 	234	 obj = 	784.797	 error = 	0.000148
step = 	235	 obj = 	784.6826	 error = 	0.00014234
step = 	236	 obj = 	784.5711	 error = 	0.00013671
step = 	237	 obj = 	784.4624	 error = 	0.00013118
step = 	238	 obj = 	784.3562	 error = 	0.00012578
step = 	239	 obj = 	784.2522	 error = 	0.00012053
step = 	240	 obj = 	784.1512	 error = 	0.00011547
step = 	241	 obj = 	784.0526	 error = 	0.00011059
step = 	242	 obj = 	783.9557	 error = 	0.00010592
step = 	243	 obj = 	783.8615	 error = 	0.00010144
step = 	244	 obj = 	783.7697	 error = 	9.7166e-05
